Data;Balance
2018.05.29;15157.00
2018.05.29;15157.00
2018.05.30;15262.00
2018.05.30;15262.00
2018.05.30;15262.00
2018.05.30;15383.00
2018.05.30;15383.00
2018.05.30;15383.00
2018.06.01;15329.00
2018.06.01;15329.00
2018.06.01;15329.00
2018.06.01;15464.00
2018.06.01;15464.00
2018.06.01;15464.00
2018.06.04;15387.00
2018.06.04;15387.00
2018.06.04;15387.00
2018.06.06;15579.00
2018.06.06;15579.00
2018.06.06;15579.00
2018.06.07;15514.00
2018.06.07;15514.00
2018.06.07;15514.00
2018.06.11;15440.00
2018.06.11;15440.00
2018.06.11;15440.00
2018.06.12;15595.00
2018.06.12;15595.00
2018.06.12;15595.00
2018.06.13;15529.00
2018.06.13;15529.00
2018.06.13;15529.00
2018.06.13;15468.00
2018.06.13;15468.00
2018.06.13;15468.00
2018.06.14;15410.00
2018.06.14;15410.00
2018.06.14;15410.00
2018.06.15;15360.00
2018.06.15;15360.00
2018.06.15;15360.00
2018.06.19;15487.00
2018.06.19;15487.00
2018.06.19;15487.00
2018.06.19;15445.00
2018.06.19;15445.00
2018.06.19;15445.00
2018.06.20;15391.00
2018.06.20;15391.00
2018.06.20;15391.00
2018.06.20;15457.00
2018.06.20;15457.00
2018.06.20;15457.00
2018.06.21;15382.00
2018.06.21;15382.00
2018.06.21;15382.00
2018.06.25;15337.00
2018.06.25;15337.00
2018.06.25;15337.00
2018.06.25;15472.00
2018.06.25;15472.00
2018.06.25;15472.00
2018.06.27;15656.00
2018.06.27;15656.00
2018.06.27;15656.00
2018.06.27;15578.00
2018.06.27;15578.00
2018.06.27;15578.00
2018.06.29;15516.00
2018.06.29;15516.00
2018.06.29;15516.00
2018.07.02;15579.00
2018.07.02;15579.00
2018.07.02;15579.00
2018.07.03;15541.00
2018.07.03;15541.00
2018.07.03;15541.00
2018.07.05;15648.00
2018.07.05;15648.00
2018.07.05;15648.00
2018.07.06;15691.00
2018.07.06;15691.00
2018.07.06;15691.00
2018.07.06;15677.00
2018.07.06;15677.00
2018.07.06;15677.00
2018.07.10;15783.00
2018.07.10;15783.00
2018.07.10;15783.00
2018.07.10;15727.00
2018.07.10;15727.00
2018.07.10;15727.00
2018.07.11;15862.00
2018.07.11;15862.00
2018.07.11;15862.00
2018.07.12;15808.00
2018.07.12;15808.00
2018.07.12;15808.00
2018.07.13;15917.00
2018.07.13;15917.00
2018.07.13;15917.00
2018.07.17;15854.00
2018.07.17;15854.00
2018.07.17;15854.00
2018.07.19;15787.00
